,TENURE,BALANCE_FREQUENCY_RANGE,PURCHASES_FREQUENCY_RANGE,ONEOFF_PURCHASES_FREQUENCY_RANGE,PURCHASES_INSTALLMENTS_FREQUENCY_RANGE,CASH_ADVANCE_FREQUENCY_RANGE,PRC_FULL_PAYMENT_RANGE,BALANCE_RANGE,PURCHASES_RANGE,ONEOFF_PURCHASES_RANGE,INSTALLMENTS_PURCHASES_RANGE,CASH_ADVANCE_RANGE,CREDIT_LIMIT_RANGE,PAYMENTS_RANGE,MINIMUM_PAYMENTS_RANGE,PURCHASES_TRX_RANGE,CASH_ADVANCE_TRX_RANGE,cluster
0,12,9,2,0,1,0,0,1,1,0,1,0,2,1,1,1,0,3
1,12,10,0,0,0,3,3,4,0,0,0,5,5,4,3,0,1,1
2,12,10,10,10,0,0,0,3,2,2,0,0,5,2,2,3,0,2
3,12,7,1,1,0,1,0,3,3,3,0,1,5,0,2,1,1,3
4,12,10,1,1,0,0,0,2,1,1,0,0,3,2,1,1,0,3
5,12,10,7,0,6,0,0,3,3,0,3,0,3,3,3,2,0,0
6,12,10,10,10,10,0,10,2,5,5,2,0,6,5,1,7,0,2
7,12,10,10,0,10,0,0,3,1,0,1,0,3,2,2,3,0,0
8,12,10,4,1,3,0,0,3,2,2,1,0,5,2,1,1,0,3
9,12,6,2,2,0,0,0,1,3,3,0,0,6,3,1,1,0,3
10,12,10,10,0,10,0,0,3,2,0,2,0,3,3,3,3,0,0
11,12,9,3,3,0,0,0,2,3,3,0,0,3,2,1,2,0,3
12,12,10,10,3,10,0,3,3,4,3,2,0,3,2,1,5,0,2
13,12,10,8,2,8,0,1,2,3,1,3,0,5,3,1,5,0,0
14,12,10,0,0,0,1,0,3,0,0,0,1,3,2,2,0,1,3
15,12,10,5,0,5,2,0,5,3,0,3,3,5,3,3,3,1,1
16,8,9,0,0,0,3,0,3,0,0,0,3,3,1,1,0,1,3
17,12,5,5,0,4,0,3,1,2,0,2,0,3,1,1,2,0,0
18,12,10,7,1,6,0,0,3,2,1,1,0,6,3,2,2,0,0
19,12,10,10,0,10,0,0,4,1,0,1,0,4,3,6,3,0,0
20,12,10,7,0,7,0,0,3,1,0,1,0,3,1,6,2,0,0
21,12,10,10,10,10,4,0,5,5,5,1,1,6,3,3,7,2,2
22,12,7,10,0,10,0,0,1,2,0,2,0,3,3,1,4,0,0
23,12,9,10,1,10,4,0,4,4,4,2,5,5,5,3,3,3,2
24,11,10,0,0,0,4,0,5,0,0,0,2,5,3,3,0,1,1
25,12,10,10,0,10,0,0,1,1,0,1,0,3,1,1,3,0,0
26,12,10,2,2,0,3,0,3,1,1,0,1,3,2,2,1,1,3
27,12,10,10,0,10,0,0,1,1,0,1,0,2,1,1,3,0,0
28,12,10,7,2,5,9,0,5,1,1,1,3,6,3,3,2,4,1
29,12,10,5,0,5,0,0,1,1,0,1,0,5,1,1,1,0,0
30,12,10,10,2,10,5,0,6,4,3,3,4,6,4,4,7,2,2
31,12,10,10,1,10,2,0,3,3,1,2,1,5,2,1,6,1,0
32,12,10,1,1,0,2,0,5,1,1,0,3,6,3,3,1,1,1
33,12,10,10,10,0,0,3,1,2,2,0,0,3,1,1,3,0,2
34,12,8,10,0,10,0,0,4,2,0,2,0,6,5,6,3,0,2
35,12,10,0,0,0,1,0,3,0,0,0,1,3,1,2,0,1,3
